,Name,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality,Degree_no,Degree_1,Degree_2
31,Dr. Smita Saraf,100.0,22.0,Pitampura, Delhi,500.0,13.0,Dentist,1,BDS,No_more_degree
32,Dr. Adiba Kauser,96.0,57.0,Zakir Nagar, Delhi,200.0,16.0,Dentist,1,BDS,No_more_degree
33,Dr. Awantika,94.0,190.0,Madangir, Delhi,100.0,2.0,Dentist,1,BDS,No_more_degree
34,Dr. Mukul Prabhat,96.0,46.0,Shahdara, Delhi,300.0,15.0,Dentist,4,BDS,MDS
35,Dr. Preksha Jain,94.0,190.0,Mayur Vihar Ph-I, Delhi,400.0,13.0,Dentist,2,MDS,BDS
36,Dr. Shilpa Bharti,99.0,369.0,Malviya Nagar, Delhi,500.0,15.0,Dentist,2,BDS,MDS
37,Dr. Renu Sharma,94.0,190.0,Dilshad Garden, Delhi,600.0,11.0,Dentist,1,BDS,No_more_degree
38,Dr. Adosh Lall,97.0,185.0,Sarita Vihar, Delhi,700.0,30.0,Dentist,2,MDS,BDS
39,Dr. Deepika,94.0,190.0,Madangir, Delhi,200.0,6.0,Dentist,1,BDS,No_more_degree
40,Dr. Simran,97.0,219.0,Paschim Vihar, Delhi,500.0,16.0,Dentist,2,MDS,BDS
41,Dr. Sushil Kumar Singh,78.0,36.0,Nangloi, Delhi,100.0,16.0,Dentist,2,BDS,MDS
42,Dr. Ankur Gupta,94.0,190.0,Dwarka, Delhi,200.0,12.0,Dentist,2,MDS,BDS
43,Dr. Abhimanyu Sharma,100.0,16.0,Vasundhra Enclave, Delhi,500.0,15.0,Dentist,2,MDS,BDS
44,Dr. Mehak Nagpal Sharma,100.0,159.0,Dwarka, Delhi,500.0,12.0,Dentist,2,BDS,MDS
45,Dr. Amandeep Singh Arora,99.0,231.0,Vasant Vihar, Delhi,500.0,9.0,Dentist,1,MDS,No_more_degree
46,Dr. Uday Sharma,94.0,190.0,Uttam Nagar, Delhi,100.0,5.0,Dentist,1,BDS,No_more_degree
47,Dr. Kamal Gandhi,98.0,377.0,Vasant Vihar, Delhi,800.0,27.0,Dentist,1,BDS,No_more_degree
48,Dr. Manisha Yadav,94.0,190.0,Dwarka, Delhi,500.0,7.0,Dentist,1,BDS,No_more_degree
49,Dr. Madhumani Kumra,99.0,404.0,Greater Kailash Part 1, Delhi,750.0,29.0,Dentist,2,MDS,BDS
50,Dr. Sheri Yadav,100.0,90.0,Pitampura, Delhi,500.0,13.0,Dentist,1,BDS,No_more_degree
51,Dr. Sarika Solanki,98.0,43.0,Dwarka, Delhi,600.0,21.0,Dentist,3,BDS,MDS
52,Dr. Anil Kohli,97.0,858.0,Lajpat Nagar, Delhi,1000.0,46.0,Dentist,2,BDS,MDS
53,Dr. Ankita Kalra,98.0,40.0,Dwarka Sector 7, Delhi,300.0,13.0,Dentist,1,BDS,No_more_degree
54,Dr. Ravneet Kaur,100.0,101.0,Vasant Vihar, Delhi,1000.0,14.0,Dentist,2,BDS,MDS
55,Dr. Naina Chopra,100.0,105.0,Ramesh Nagar, Delhi,600.0,17.0,Dentist,2,BDS,MDS
56,Dr. Abhishek Mathur,94.0,190.0,Lajpat Nagar, Delhi,500.0,11.0,Dentist,2,BDS,MDS
57,Dr. Rajat Sachdeva,95.0,647.0,Ashok Vihar, Delhi,1000.0,17.0,Dentist,3,BDS,MDS
58,Dr. Siddhartha Pujari,100.0,192.0,Greater Kailash Part 2, Delhi,700.0,21.0,Dentist,2,BDS,MDS
59,Dr. Nitish,94.0,190.0,Rohini Sector 15, Delhi,500.0,6.0,Dentist,1,BDS,No_more_degree
60,Dr. Shubhangini Gandhi,98.0,176.0,Green Park, Delhi,500.0,23.0,Dentist,2,BDS,MDS
61,Dr. Isha Pareek,94.0,190.0,Pusa Road, Delhi,800.0,13.0,Dentist,1,BDS,No_more_degree
62,Dr. Anjali Agarwal,94.0,190.0,Pitampura, Delhi,500.0,11.0,Dentist,1,BDS,No_more_degree
63,Dr. Ajay Arora,96.0,169.0,Rohini Sector 7, Delhi,300.0,22.0,Dentist,1,BDS,No_more_degree
64,Dr. Divyangna Chaudhary,85.0,53.0,Vikas Puri, Delhi,500.0,13.0,Dentist,1,BDS,No_more_degree
65,Dr. Ankit Jain,100.0,311.0,Tri Nagar, Delhi,300.0,11.0,Dentist,2,BDS,MDS
66,Dr. Ashu Gupta,94.0,49.0,Munirka, Delhi,1000.0,27.0,Dentist,1,BDS,No_more_degree
67,Dr. Dimple Arora,100.0,226.0,Ashok Vihar, Delhi,500.0,26.0,Dentist,1,BDS,No_more_degree
68,Dr. Upama Gupta,98.0,630.0,Kalkaji, Delhi,800.0,22.0,Dentist,1,BDS,No_more_degree
69,Dr. Vishal Gupta,99.0,1028.0,New Friends Colony, Delhi,600.0,24.0,Dentist,3,BDS,MDS
70,Dr. Poonam Dutt,97.0,88.0,Defence Colony, Delhi,800.0,36.0,Dentist,2,BDS,MDS
71,Dr. Kamal Batra,99.0,260.0,Paschim Vihar, Delhi,500.0,17.0,Dentist,2,BDS,MDS
72,Dr. Ekta Narula,98.0,140.0,New Rajendra Nagar, Delhi,600.0,25.0,Dentist,1,BDS,No_more_degree
73,Dr. Heena Gandhi,94.0,190.0,Shalimar Bagh, Delhi,300.0,15.0,Dentist,2,BDS,MDS
74,Dr. Divya Nigam,97.0,108.0,Lajpat Nagar, Delhi,500.0,14.0,Dentist,2,MDS,BDS
75,Dr. Deepak Nakra,97.0,32.0,Punjabi Bagh, Delhi,500.0,23.0,Dentist,3,BDS,Fellowship
76,Dr. Shiv P Mahapatra,94.0,31.0,Dwarka Sector 22, Delhi,500.0,11.0,Dentist,2,MDS,BDS
77,Dr. T Chandan,96.0,279.0,Saket, Delhi,800.0,27.0,Dentist,2,BDS,PhD
78,Dr. Vishakha Gupta,99.0,125.0,Hari Nagar, Delhi,500.0,20.0,Dentist,1,BDS,No_more_degree
79,Dr. Neha Singhal,99.0,67.0,Kingsway Camp, Delhi,200.0,16.0,Dentist,2,BDS,PhD
80,Dr. Shalu,94.0,190.0,Laxmi Nagar, Delhi,200.0,3.0,Dentist,1,BDS,No_more_degree
81,Dr. Rohit Malik,94.0,605.0,Paschim Vihar, Delhi,800.0,23.0,Dentist,2,BDS,MDS
82,Dr. Anurag Singh,98.0,229.0,Saket, Delhi,1200.0,23.0,Dentist,3,BDS,MDS
83,Dr. Kapil Garg,99.0,403.0,Pitampura, Delhi,500.0,18.0,Dentist,2,BDS,MDS
84,Dr. Rohit Chandra,94.0,190.0,Patparganj, Delhi,1000.0,22.0,Dentist,2,BDS,MDS
85,Dr. Gaurav Walia,97.0,415.0,Sarita Vihar, Delhi,500.0,22.0,Dentist,2,BDS,MDS
86,Dr. Neeraj Verma,94.0,190.0,Sarita Vihar, Delhi,1000.0,46.0,Dentist,2,BDS,MDS
87,Dr. Nitin Kumar,94.0,190.0,Chattarpur, Delhi,400.0,13.0,Dentist,2,BDS,Master
88,Dr. Gagan Khanna,100.0,73.0,Janakpuri, Delhi,500.0,19.0,Dentist,2,BDS,MDS
89,Dr. Ruchir Chawla,96.0,125.0,Katwaria Sarai, Delhi,350.0,13.0,Dentist,1,BDS,No_more_degree
90,Dr. Bhupesh Budhiraja,75.0,817.0,Mayur Vihar Ph-II, Delhi,800.0,27.0,Dentist,1,BDS,No_more_degree
91,Dr. Nikhil,100.0,39.0,Model Town 1, Delhi,400.0,14.0,Dentist,1,BDS,No_more_degree
92,Dr. Plessy Thomas,94.0,190.0,Greater Kailash Part 1, Delhi,750.0,7.0,Dentist,1,BDS,No_more_degree
93,Dr. Shiana Bansal,100.0,15.0,Janakpuri, Delhi,500.0,12.0,Dentist,2,BDS,MDS
94,Dr. Kanishka Dua,94.0,190.0,Saket, Delhi,800.0,15.0,Dentist,2,BDS,MDS
95,Dr. Parul Kohli,100.0,127.0,Gujranwala Town, Delhi,500.0,16.0,Dentist,1,BDS,No_more_degree
96,Dr. Vishu Aggarwal,100.0,539.0,Punjabi Bagh, Delhi,300.0,12.0,Dentist,2,BDS,MDS
97,Dr. Ayush Tyagi,100.0,14.0,Shakurpur, Delhi,500.0,6.0,Dentist,1,BDS,No_more_degree
98,Dr. Amogh Tanwar,99.0,341.0,Janakpuri, Delhi,800.0,17.0,Dentist,2,BDS,MDS
99,Dr. Hiten Kalra,100.0,235.0,Anand Niketan, Delhi,600.0,22.0,Dentist,2,BDS,MDS
100,Dr. Manish Gupta,99.0,355.0,Munirka, Delhi,1000.0,29.0,Dentist,2,BDS,MDS
101,Dr. Mudita Gupta,94.0,190.0,Mayur Vihar, Delhi,400.0,10.0,Dentist,1,BDS,No_more_degree
102,Dr. Rajat Yadav,94.0,190.0,Nangloi, Delhi,300.0,8.0,Dentist,1,BDS,No_more_degree
103,Dr. Neetu Kamra,94.0,190.0,Pusa Road, Delhi,800.0,25.0,Dentist,1,BDS,No_more_degree
104,Dr. Swapnil Gupta,97.0,554.0,Alaknanda, Delhi,300.0,15.0,Dentist,1,BDS,No_more_degree
105,Dr. Sanchi Chhabra,98.0,58.0,Defence Colony, Delhi,500.0,11.0,Dentist,1,BDS,No_more_degree
106,Dr. Shriyam Sharan,94.0,190.0,Panchsheel Park, Delhi,500.0,11.0,Dentist,1,BDS,No_more_degree
107,Dr. Pankaj Rooprai,86.0,28.0,Dwarka, Delhi,300.0,30.0,Dentist,2,BDS,MDS
108,Dr. Harsh Goyal,100.0,343.0,Janakpuri, Delhi,500.0,14.0,Dentist,2,BDS,MDS
109,Dr. Mayank Mukhi,97.0,29.0,Saket, Delhi,600.0,15.0,Dentist,2,BDS,MDS
110,Dr. Abhishek Arora,99.0,1493.0,Malviya Nagar, Delhi,500.0,21.0,Dentist,1,BDS,No_more_degree
111,Dr. Sumit Dubey,96.0,225.0,Lajpat Nagar, Delhi,500.0,20.0,Dentist,2,BDS,MDS
112,Dr. Anup Razdan,94.0,190.0,Chanakyapuri, Delhi,1500.0,30.0,Dentist,2,BDS,MDS
113,Dr. Geeta Kalra,93.0,207.0,Lajpat Nagar, Delhi,700.0,23.0,Dentist,1,BDS,No_more_degree
114,Dr. Neeti Sharma,96.0,192.0,Katwaria Sarai, Delhi,350.0,13.0,Dentist,1,BDS,No_more_degree
115,Dr. Ravi Dahiya,94.0,190.0,Rohini Sector 15, Delhi,500.0,13.0,Dentist,2,BDS,MDS
116,Dr. Anil Kochar,98.0,239.0,Tilak Nagar, Delhi,500.0,26.0,Dentist,1,BDS,No_more_degree
117,Dr. Aparna Singhal,98.0,180.0,Punjabi Bagh, Delhi,300.0,15.0,Dentist,2,BDS,MDS
118,Dr. Arvinder Kaur,100.0,167.0,IP Extension, Delhi,350.0,13.0,Dentist,2,BDS,MDS
119,Dr. Sanju Lall,100.0,46.0,Sarita Vihar, Delhi,700.0,29.0,Dentist,2,BDS,MDS
120,Dr. Archana Arora,96.0,232.0,Vikas Puri, Delhi,500.0,23.0,Dentist,2,BDS,Comprehensive
121,Dr. Anurag Ahuja,97.0,2440.0,Mayur Vihar Ph-I, Delhi,300.0,16.0,Dentist,2,BDS,MDS
122,Dr. Ejya Mathur,94.0,190.0,Lajpat Nagar, Delhi,500.0,11.0,Dentist,2,BDS,MDS
123,Dr. Priyanka K Kalra,100.0,85.0,Anand Niketan, Delhi,600.0,19.0,Dentist,2,BDS,MDS
124,Dr. Amit Bhatia,99.0,231.0,Malviya Nagar, Delhi,500.0,15.0,Dentist,2,BDS,MDS
125,Dr. Sonal,100.0,12.0,Kingsway Camp, Delhi,500.0,17.0,Dentist,1,BDS,No_more_degree
126,Dr. Aman Arora,98.0,343.0,Ashok Vihar, Delhi,500.0,31.0,Dentist,2,BDS,MDS
127,Dr. Prashant Ojha,92.0,171.0,Saket, Delhi,300.0,17.0,Dentist,3,MDS,Certificate
128,Dr. Anukriti Bansal Aggarwal,100.0,83.0,Rohini Sector 18, Delhi,400.0,11.0,Dentist,1,BDS,No_more_degree
129,Dr. Srijan Shilpi,99.0,76.0,Saket, Delhi,500.0,11.0,Dentist,3,BDS,MDS
130,Dr. Prof. Suraj R Suvarna,100.0,291.0,Sheikh Sarai, Delhi,300.0,23.0,Dentist,2,BDS,MDS
131,Dr. Taranjit Singh,96.0,198.0,Janakpuri, Delhi,1000.0,26.0,Dentist,1,BDS,No_more_degree
132,Dr. Divyangana Madaan Ahuja,94.0,190.0,Safdarjung Enclave, Delhi,500.0,7.0,Dentist,2,MDS,BDS
133,Dr. Parul Gupta,97.0,272.0,Karol Bagh, Delhi,500.0,21.0,Dentist,1,BDS,No_more_degree
134,Dr. Sushen Sharma,99.0,124.0,Patel Nagar West, Delhi,200.0,14.0,Dentist,2,BDS,MDS
135,Dr. Pallavi Dhama,100.0,71.0,IP Extension, Delhi,300.0,13.0,Dentist,2,BDS,MDS
136,Dr. Jasneet Singh,97.0,416.0,Paschim Vihar, Delhi,600.0,16.0,Dentist,2,BDS,MDS
137,Dr. Manak Gupta,99.0,595.0,Dwarka, Delhi,500.0,17.0,Dentist,2,BDS,MDS
138,Dr. M.M. Naiyer,92.0,12.0,Panchsheel Park, Delhi,500.0,9.0,Dentist,2,BDS,MDS
139,Dr. Sarcha Kaushal,100.0,14.0,Khanpur, Delhi,250.0,8.0,Dentist,1,BDS,No_more_degree
140,Dr. Surbhi Anand,99.0,112.0,East Of Kailash, Delhi,800.0,13.0,Dentist,2,BDS,MDS
141,Dr. Asheesh Gupta,95.0,356.0,Paschim Vihar, Delhi,250.0,24.0,Dentist,3,BDS,MDS
142,Dr. Priyank Bhandari,99.0,164.0,Laxmi Nagar, Delhi,500.0,11.0,Dentist,2,BDS,MDS
143,Dr. Manish Chandana,94.0,190.0,Pitampura, Delhi,500.0,3.0,Dentist,1,BDS,No_more_degree
144,Dr. Shweta Sehgal,97.0,73.0,Rohini, Delhi,500.0,15.0,Dentist,1,BDS,No_more_degree
145,Dr. Avinash Singh,94.0,190.0,Uttam Nagar, Delhi,300.0,15.0,Dentist,2,BDS,MDS
146,Dr. Anuj Manocha,97.0,35.0,RK Puram, Delhi,300.0,13.0,Dentist,1,BDS,No_more_degree
147,Dr. Pranshu Tripathi,100.0,13.0,Dwarka Sector 12, Delhi,500.0,13.0,Dentist,2,BDS,MDS
148,Dr. Tarun Ahuja,94.0,426.0,Vijaynagar, Delhi,500.0,19.0,Dentist,1,BDS,No_more_degree
149,Dr. Viraj Chopra,99.0,67.0,New Friends Colony, Delhi,1500.0,32.0,Dentist,2,BDS,MDS
150,Dr. Salil Kochar,97.0,230.0,Lajpat Nagar, Delhi,500.0,16.0,Dentist,2,BDS,MDS
151,Dr. Raj Arya,98.0,154.0,Dwarka, Delhi,500.0,26.0,Dentist,1,BDS,No_more_degree
152,Dr. Shilpi Malhotra,94.0,18.0,Dwarka Sector 12, Delhi,500.0,18.0,Dentist,1,BDS,No_more_degree
153,Dr. Abhishek Verma,94.0,190.0,Pitampura, Delhi,500.0,3.0,Dentist,1,BDS,No_more_degree
154,Dr. Jyoti Anand,98.0,105.0,Paschim Vihar, Delhi,500.0,12.0,Dentist,1,BDS,No_more_degree
155,Dr. Aditya Ranjan,94.0,190.0,Paschim Puri, Delhi,300.0,2.0,Dentist,1,BDS,No_more_degree
156,Dr. Gaurav Kharbanda,94.0,190.0,Lajpat Nagar, Delhi,500.0,21.0,Dentist,2,BDS,MDS
157,Dr. Sharad Gupta,98.0,230.0,Hari Nagar, Delhi,500.0,28.0,Dentist,2,BDS,MDS
158,Dr. Vidhi Walia Mishra,98.0,120.0,Preet Vihar, Delhi,400.0,10.0,Dentist,2,BDS,MDS
159,Dr. Aval Luthra,97.0,152.0,Vasant Kunj, Delhi,700.0,22.0,Dentist,2,BDS,MDS
160,Dr. Abhishek Kukreja,94.0,190.0,Pitampura, Delhi,400.0,17.0,Dentist,1,BDS,No_more_degree
161,Dr. Surya Prakash Bharadwaj,99.0,704.0,Dwarka, Delhi,500.0,18.0,Dentist,2,BDS,MDS
162,Dr. Sumanto Bagchi,99.0,668.0,Dwarka, Delhi,500.0,17.0,Dentist,1,BDS,No_more_degree
163,Dr. Dolly Gupta,100.0,35.0,Defence Colony, Delhi,500.0,10.0,Dentist,2,BDS,MDS
164,Dr. Preeti Jain Pruthi,94.0,190.0,Krishna Nagar, Delhi,300.0,17.0,Dentist,2,BDS,MDS
165,Dr. Pinky K Dhingra,95.0,133.0,Pitampura, Delhi,300.0,12.0,Dentist,2,BDS,MDS
166,Dr. Avneet Singh Chopra,98.0,284.0,Rohini, Delhi,400.0,13.0,Dentist,1,BDS,No_more_degree
167,Dr. Col. Saroj Kumar Ojha,97.0,461.0,Dwarka, Delhi,500.0,41.0,Dentist,2,BDS,MDS
168,Dr. Amit Baranwal,92.0,36.0,Dwarka Sector 6, Delhi,500.0,24.0,Dentist,1,BDS,No_more_degree
169,Dr. Varun Raj Kumar,100.0,31.0,Saket, Delhi,1000.0,14.0,Dentist,2,BDS,MDS
170,Dr. Shivani Gupta,99.0,304.0,Kilokri, Delhi,1500.0,26.0,Dentist,1,BDS,No_more_degree
171,Dr. Anoop Jain,99.0,633.0,Rohini, Delhi,200.0,15.0,Dentist,2,BDS,MDS
172,Dr. Nidhi Bansal,99.0,203.0,Pitampura, Delhi,400.0,19.0,Dentist,1,BDS,No_more_degree
173,Dr. Nandita Grover,94.0,190.0,Saket, Delhi,800.0,26.0,Dentist,2,MDS,BDS
174,Dr. Rachita Mehlawat,97.0,73.0,Dwarka Sector 6, Delhi,500.0,9.0,Dentist,2,MDS,BDS
175,Dr. Prashant Nanda,99.0,611.0,Defence Colony, Delhi,500.0,15.0,Dentist,3,BDS,MDS
176,Dr. Priyanka Jain,99.0,76.0,Rohini Sector 24, Delhi,200.0,11.0,Dentist,1,BDS,No_more_degree
177,Dr. Shweta Gupta,96.0,157.0,Ashok Vihar, Delhi,1000.0,22.0,Dentist,1,BDS,No_more_degree
178,Dr. Major Vipin Kumar,96.0,70.0,Greater Kailash Part 1, Delhi,600.0,17.0,Dentist,2,BDS,MDS
179,Dr. Aman Sachdev,100.0,16.0,Paschim Vihar, Delhi,500.0,12.0,Dentist,2,BDS,MDS
180,Dr. Harveen Nakra,99.0,196.0,Punjabi Bagh, Delhi,500.0,23.0,Dentist,1,BDS,No_more_degree
181,Dr. Sourabh Nagpal,99.0,1654.0,Vasant Vihar, Delhi,500.0,18.0,Dentist,4,BDS,MDS
182,Dr. Tushita Singh,99.0,139.0,Dwarka Sector 11, Delhi,500.0,12.0,Dentist,2,BDS,MDS
183,Dr. Amandeep Sapra,98.0,388.0,Lajpat Nagar, Delhi,400.0,23.0,Dentist,1,BDS,No_more_degree
184,Dr. Pratik Aggrawal,89.0,36.0,Old Rajendra Nagar, Delhi,1600.0,13.0,Dentist,2,BDS,MDS
185,Dr. Smriti Bouri,94.0,190.0,Panchsheel Park, Delhi,1000.0,29.0,Dentist,1,BDS,No_more_degree
186,Dr. Shafaque Parween,94.0,190.0,Okhla, Delhi,200.0,6.0,Dentist,1,BDS,No_more_degree
187,Dr. Anjali Deswal,94.0,190.0,Rohini Sector 16, Delhi,200.0,3.0,Dentist,1,BDS,No_more_degree
188,Dr. Smriti Malhotra Nanda,100.0,386.0,Defence Colony, Delhi,1000.0,15.0,Dentist,2,BDS,MDS
189,Dr. Anuja,100.0,23.0,Chitra Vihar, Delhi,400.0,25.0,Dentist,2,BDS,MDS
190,Dr. Nikhil,100.0,229.0,Vasant Kunj, Delhi,500.0,6.0,Dentist,1,BDS,No_more_degree
191,Dr. Manju Kaushik,99.0,731.0,Lajpat Nagar, Delhi,500.0,30.0,Dentist,2,BDS,MDS
192,Dr. Ritesh,99.0,811.0,Vasant Kunj, Delhi,500.0,18.0,Dentist,1,BDS,No_more_degree
193,Dr. Unnati Gupta,99.0,97.0,South Extension 2, Delhi,700.0,27.0,Dentist,1,BDS,No_more_degree
194,Dr. Vineet Jain,98.0,89.0,Pitampura, Delhi,500.0,21.0,Dentist,2,BDS,MDS
195,Dr. Abhishek Shekhar,100.0,57.0,Uttam Nagar, Delhi,300.0,7.0,Dentist,2,BDS,MDS
196,Dr. Surpreet Bhandari,100.0,144.0,Laxmi Nagar, Delhi,500.0,11.0,Dentist,2,BDS,MDS
197,Dr. Anupam Sinha,97.0,410.0,Greater Kailash Part 1, Delhi,750.0,21.0,Dentist,2,BDS,MDS
198,Dr. Shivani Agarwal,99.0,141.0,Sarita Vihar, Delhi,700.0,23.0,Dentist,2,BDS,MDS
199,Dr. Vikas Yadav,87.0,23.0,Kapashera, Delhi,250.0,11.0,Dentist,1,BDS,No_more_degree
200,Dr. Vaishali Aggarwal,93.0,137.0,Kamla Nagar, Delhi,300.0,13.0,Dentist,1,BDS,No_more_degree
201,Dr. Navin Pahwa,91.0,66.0,Rohini, Delhi,500.0,27.0,Dentist,2,BDS,MDS
202,Dr. Arun Kant,99.0,1223.0,Dwarka, Delhi,500.0,13.0,Dentist,2,BDS,MDS
203,Dr. Ruchi Gupta,97.0,150.0,Pitampura, Delhi,300.0,16.0,Dentist,1,BDS,No_more_degree
204,Dr. Archana Bhardwaj,99.0,139.0,South Extension 1, Delhi,800.0,18.0,Dentist,2,BDS,MDS
205,Dr. Ashish Kakkar,94.0,190.0,Sarita Vihar, Delhi,700.0,34.0,Dentist,1,BDS,No_more_degree
206,Dr. Mansi Arora,99.0,306.0,Paschim Vihar, Delhi,500.0,18.0,Dentist,2,MDS,BDS
207,Dr. Shivani Kataria,99.0,250.0,Patel Nagar West, Delhi,300.0,10.0,Dentist,1,BDS,No_more_degree
208,Dr. Rupal Agrawal,95.0,133.0,Dwarka, Delhi,1000.0,26.0,Dentist,2,BDS,MDS
209,Dr. Urvashi Rooprai,94.0,190.0,Dwarka, Delhi,500.0,25.0,Dentist,1,BDS,No_more_degree
210,Dr. Rajeev Aggarwal,99.0,434.0,Vasant Kunj, Delhi,500.0,23.0,Dentist,2,BDS,MDS-
211,Dr. Amandeep Dhillon,99.0,110.0,East Of Kailash, Delhi,800.0,15.0,Dentist,2,MDS,BDS
212,Dr. Jitender Dahiya,94.0,190.0,Hari Nagar, Delhi,300.0,20.0,Dentist,1,BDS,No_more_degree
213,Dr. Karan Sarpal,94.0,190.0,Madangir, Delhi,200.0,5.0,Dentist,2,BDS,MDS
214,Dr. Animesh Agarwal,99.0,2408.0,Kingsway Camp, Delhi,200.0,17.0,Dentist,2,BDS,MDS
215,Dr. Chhavi Bajaj,100.0,52.0,Dwarka Sector 3, Delhi,350.0,7.0,Dentist,1,BDS,No_more_degree
216,Dr. Abhinav Gupta,98.0,662.0,Vijaynagar, Delhi,500.0,20.0,Dentist,1,BDS,No_more_degree
217,Dr. Gurleen Kaur,94.0,190.0,Sukhdev Vihar, Delhi,500.0,19.0,Dentist,1,BDS,No_more_degree
218,Dr. Harsh Priyankar,100.0,28.0,Kingsway Camp, Delhi,500.0,17.0,Dentist,1,BDS,No_more_degree
219,Dr. Sachin Bansal,100.0,407.0,Pitampura, Delhi,400.0,21.0,Dentist,2,BDS,MDS
220,Dr. Subhima Bhalla,100.0,103.0,Nizamuddin East, Delhi,500.0,12.0,Dentist,2,BDS,MDS
221,Dr. Mahima Nanda Kapoor,94.0,146.0,Nehru Place, Delhi,1000.0,20.0,Dentist,2,MDS,BDS
222,Dr. Amit Parashar,94.0,190.0,Greater Kailash Part 1, Delhi,500.0,15.0,Dentist,2,BDS,MDS
223,Dr. Pankaj Rao,97.0,1157.0,Dwarka, Delhi,500.0,17.0,Dentist,2,BDS,MDS
224,Dr. Namrata Sharma,100.0,30.0,Vasant Kunj, Delhi,700.0,13.0,Dentist,2,BDS,MDS
225,Dr. Ritu S Bhola,91.0,66.0,Vishnu Garden, Delhi,250.0,19.0,Dentist,1,BDS,No_more_degree
