Name,Degree,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality
Dr. Hamrah Siddiqui,"MBBS, MD - Obstetrics & Gynaecology",92% ,(39 votes),Okhla, Delhi,₹700,38,"Gynecologist, Obstetrician, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Ashok Sharma,MBBS,,,Okhla, Delhi,₹1500,46,General Physician
Dr. Sunilkumar Baranwal,"MCh - Neuro Surgery, MS - General Surgery, MBBS",74% ,(31 votes),Pitampura, Delhi,₹1100,18,"Neurosurgeon, Neurologist, General Surgeon, Spine Surgeon (Neuro)"
Dr. Pradeep K Dewan,"MBBS, MS - General Surgery",,,Patparganj, Delhi,₹800,43,"Bariatric Surgeon, Laparoscopic Surgeon"
Dr. Jyoti Ahlawat,"BDS, MDS - Conservative Dentistry & Endodontics",99% ,(136 votes),Vasundhra Enclave, Delhi,₹500,15,"Endodontist, Dentist, Cosmetic/Aesthetic Dentist, Implantologist"
Dr. Jyotsna Gupta,"MBBS, DNB - Obstetrics & Gynecology, MNAMS - Obstetrics & Gynaecology",99% ,(72 votes),Paschim Vihar, Delhi,₹900,21,"Gynecologist, Infertility Specialist, Obstetrician"
Dr. Praveen Makhija,"MBBS, MD - Pediatrics",88% ,(17 votes),Saket, Delhi,₹1200,23,Pediatrician
Dr. Vinod Khanna,"BDS, MDS - Prosthodontist And Crown Bridge",98% ,(207 votes),Ramesh Nagar, Delhi,₹500,14,"Prosthodontist, Implantologist, Dentist, Cosmetic/Aesthetic Dentist"
Dr. Kirti Jain,"MBBS, MS - ENT",99% ,(149 votes),Paschim Vihar, Delhi,₹700,18,ENT/ Otorhinolaryngologist
Dr. H.S.Bhatyal,"MBBS, MS - General Surgery, MCh - Urology",,,Pusa Road, Delhi,₹1500,51,Urologist
Dr. Saurabh Kumar Goyal,"MBBS, MS - General Surgery",87% ,(23 votes),Greater Kailash Part 2, Delhi,₹799,15,"General Surgeon, Laparoscopic Surgeon, Proctologist"
Dr. Viney Jetley,"MBBS, MD - General Medicine, DNB - General Medicine, DNB - Cardiology",100% ,(12 votes),Okhla, Delhi,₹1500,30,Cardiologist
Dr. Saloni Arora,"MBBS, MD - Obstetrics & Gynaecology",,,Pusa Road, Delhi,₹1200,13,"Gynecologist, Obstetrician"
Dr. Vijay Prabhu SN,"MBBS, MD - General Medicine",,,Arjun Nagar, Delhi,₹500,10,Internal Medicine
Dr. Tarun Sharma,"MD - Physician, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",,,Saket, Delhi,₹1000,17,Pulmonologist
Dr. Sandhya Thakkar   (Physiotherapist),BPTh/BPT,,,Sarita Vihar, Delhi,₹700,16,"TherapistPhysiotherapist, Geriatric Physiotherapist"
Dr. Swati Kanodia,"MBBS, MD - Pediatrics",,,Pusa Road, Delhi,₹1100,14,General Physician
Dr. Sumit Datta,"BDS, MDS - Orthodontics",,,Panchsheel Park, Delhi,₹1200,26,"Orthodontist, Implantologist, Dentist"
Ms. Raminder Kaur Deshmukh,Diploma in Dietetics & Public Health Nutrition (DDPHN),99% ,(490 votes),Rajouri Garden, Delhi,₹3500,32,TherapistDietitian/Nutritionist
Dr. Namrata Ghai,"MBBS, DDVL",92% ,(63 votes),Bali Nagar, Delhi,₹1000,22,"Dermatologist, Trichologist, Aesthetic Dermatologist, Hair Transplant Surgeon"
Dr. Lt.Col. Preeti Tahlan Arora,BDS,100% ,(74 votes),Malviya Nagar, Delhi,₹500,22,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Viny Kantroo,"MBBS, DNB - Respiratory Diseases",,,Sarita Vihar, Delhi,₹1500,13,Pulmonologist
Dr. Ganesh K. Mani,"MBBS, MS - General Surgery, MCh - Thoracic Surgery",,,Saket, Delhi,₹1200,46,General Surgeon
Dr. Anando Sengupta,"MBBS, DNB - General Medicine, DNB - Gastroenterology",,,Patparganj, Delhi,₹700,12,Gastroenterologist
Dr. Kapil Garella,BDS,100% ,(340 votes),Paschim Vihar, Delhi,₹400,27,"Dental Surgeon, Dentist"
Ms. Monisha Ashokan,DNHE,97% ,(63 votes),Greater Kailash, Delhi,₹2000,t9,TherapistDietitian/Nutritionist
Dr. Vikas Bhardwaj,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",92% ,(12 votes),Nirman Vihar, Delhi,₹800,12,Orthopedic surgeon
Dr. Poonam Yadav,BDS,100% ,(378 votes),Dwarka, Delhi,₹400,10,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Prof Padmashree J M Hans,"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",87% ,(119 votes),Anand Lok, Delhi,₹1500,45,ENT/ Otorhinolaryngologist
Dr. S S Bhagat,"MBBS, MS - General Surgery",,,Patparganj, Delhi,₹600,40,"Laparoscopic Surgeon, Bariatric Surgeon"
Dr. Prita Trehan,"MBBS, MD - Pediatrics",,,Sarita Vihar, Delhi,₹2000,52,Pediatrician
Dr. Vineeta Goel,"MBBS, DNB - Radiotherapy",,,Shalimar Bagh, Delhi,₹1000,23,Radiation Oncologist
Dr. Rachna Sharma,"MBBS, MD - Pediatrics",,,Pusa Road, Delhi,₹1000,20,Pediatrician
Dr. Yash Gulati,"MS - Orthopaedics, M.Ch - Orthopaedics, MBBS",85% ,(99 votes),Sarita Vihar, Delhi,₹1500,33,"Orthopedic surgeon, Joint Replacement Surgeon, Spine Surgeon (Ortho), Spine And Pain Specialist"
Dr. Bipin S. Walia,"MBBS, MS - General Surgery, MCh - Neuro Surgery",,,Saket, Delhi,₹2000,on,Neurosurgeon
Dr. Sreenita Chowdhury,"BDS, MDS - Paedodontics And Preventive Dentistry",99% ,(166 votes),Greater Kailash Part 2, Delhi,₹700,15,"Pediatric Dentist, Cosmetic/Aesthetic Dentist, Implantologist"
Dr. Vidya Gupta,"MBBS,  FRCP, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",,,Sarita Vihar, Delhi,₹1000,39,"Pediatrician, Neonatologist"
Dr. Jyoti C.Bhasin,BDS,99% ,(141 votes),Vasundhra Enclave, Delhi,₹950,24,"Implantologist, Dentist"
Dr. Shivesh Mishra,"BDS, MDS - Periodontics",98% ,(45 votes),Preet Vihar, Delhi,₹400,11,"Periodontist, Cosmetic/Aesthetic Dentist"
Dr. Rajneesh Malhotra,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",,,Saket, Delhi,₹1000,30,Cardiac Surgeon
Dr. Sanjit Singh,BDS,100% ,(91 votes),Panchsheel Park, Delhi,₹1200,18,"Cosmetic/Aesthetic Dentist, Dentist"
Dr. Amanjot Singh,"MS - Ophthalmology, MBBS",,,Panchsheel Park, Delhi,₹1000,35,Ophthalmologist/ Eye Surgeon
Dr. W.V.B.S Ramalingam,"MBBS, MS - ENT",77% ,(13 votes),Pusa Road, Delhi,₹1800,43,ENT/ Otorhinolaryngologist
Dr. Gitika Sharma,"MBBS, DNB - Obstetrics & Gynecology",,,Punjabi Bagh, Delhi,₹1000,12,"Gynecologist, Infertility Specialist"
Dr. Ajay Mittal,"MBBS, MD - Medicine, DM - Cardiology",,,Patparganj, Delhi,₹1200,40,"Cardiologist, Interventional Cardiologist"
Dr. Anil Kumar Monga,"MBBS, MS - ENT",81% ,(151 votes),Model Town, Delhi,₹1500,45,ENT/ Otorhinolaryngologist
Dr. Vinod Kumar,BAMS,,,Laxmi Nagar, Delhi,₹500,35,"AYUSHAyurveda, Sexologist (Ayurveda), Sexologist"
Dr. Ashok K Omar,"MBBS, MD - General Medicine, DM - Cardiology",,,Okhla, Delhi,₹1500,40,Cardiologist
Dr. Yogesh Sehgal,DHMS (Diploma in Homeopathic Medicine and Surgery),,,Mayur Vihar Ph-II, Delhi,₹1700,31,AYUSHHomoeopath
Dr. Mannan Kumar,"MBBS, MS - Obstetrics & Gynaecology",,,Lajpat Nagar, Delhi,₹1500,t7,"Obstetrician, Gynecologist, Infertility Specialist"
Dr. Avadesh Ahuja,"MBBS, Diploma in Child Health (DCH)",100% ,(19 votes),Greater Kailash Part 2, Delhi,₹1100,16,Pediatrician
Dr. Sarthak Chakravarty,MBBS,98% ,(49 votes),Neb Sarai, Delhi,₹700,10,General Physician
Dr. Rakesh Agrawal,"MBBS, MD - Medicine, Diplomate of American Board of Psychiatry and Neurology",100% ,(14 votes),Sarita Vihar, Delhi,₹2000,43,Neurologist
Dr. Deepak Varshney,"MBBS, MS - General Surgery, DNB - Neurosurgery",,,Tuglakabad, Delhi,₹700,18,Neurosurgeon
Dr. Rohit Bansil,"MBBS, DNB - Neurosurgery",,,Pusa Road, Delhi,₹1500,15,"Neurologist, Neurosurgeon"
Dr. Abhishek Sharma,"MD - Physician, MD - Dermatology , Venereology & Leprosy",100% ,(153 votes),South Extension 1, Delhi,₹1000,12,"Dermatologist, Venereologist, Aesthetic Dermatologist"
Dr. Nisha Shokeen,"MBBS, MD - Dermatology , Venereology & Leprosy",,,Panchsheel Park, Delhi,₹1000,10,Dermatologist
Dr. Pratibha Aggarwal,"MBBS, MD - Obstetrics & Gynaecology",100% ,(23 votes),Safdarjung Enclave, Delhi,₹1000,35,"Gynecologist, Obstetrician, Infertility Specialist"
Ms. Pooja Rao,MA - Psychology,100% ,(46 votes),Mayur Vihar Ph-I, Delhi,₹1500,t5,"TherapistPsychotherapist, Counselling Psychologist"
Dr. Sunil Datta,"BDS, MDS - Prosthodontist And Crown Bridge",100% ,(205 votes),New Rajendra Nagar, Delhi,₹1500,31,"Dentist, Implantologist, Prosthodontist"
Dr. Amit Khattri,BAMS,,,Karol Bagh, Delhi,₹99,14,AYUSHAyurveda
Dr. Divya Wadhawan,"MBBS, DNB - Obstetrics & Gynecology",,,Nehru Place, Delhi,₹1000,14,"Gynecologist, Obstetrician"
Dr. Divij Khanna,"BDS, MDS - Periodontology and Oral Implantology",98% ,(80 votes),Saket, Delhi,₹500,14,"Periodontist, Implantologist, Dental Surgeon"
Dr. Madhumita Patel,"MBBS, DNB - Obstetrics & Gynecology, DGO",100% ,(246 votes),Chattarpur, Delhi,₹600,17,"Gynecologist, Obstetrician, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Hitesh Bhandari,"MBBS, MS - Orthopaedics",,,Greater Kailash Part 1, Delhi,₹1000,n5,Orthopedic surgeon
Dr. Sandeep Sarao,BHMS,97% ,(200 votes),Shakarpur, Delhi,₹600,16,AYUSHHomoeopath
Dr. Faisal Mumtaz,"MBBS, MS - General Surgery",,,Sarita Vihar, Delhi,₹2000,32,General Surgeon
Dr. Shobhit Gupta,"MCh - Plastic & Reconstructive Surgery, MS - General Surgery, MBBS",86% ,(21 votes),Karol Bagh, Delhi,₹500,13,"Plastic Reconstruction Surgeon, Plastic Surgeon, Hair Transplant Surgeon, Burn Surgeon, Diabetic Foot Surgeon, Cosmetologist"
Dr. Manish Kulshrestha,"MBBS, MS - General Surgery",,,Shalimar Bagh, Delhi,₹1000,24,General Surgeon
Dr. Mridul Seth,"BDS, MDS",97% ,(73 votes),Panchsheel Park, Delhi,₹1200,31,Implantologist
Dr. Girish Rajpal,"MCh - Neuro Surgery, MS - General Surgery, MBBS",,,Patparganj, Delhi,₹1000,16,Neurosurgeon
Dr. Tanvir Singh,"BDS, MDS - Orthodontics",96% ,(83 votes),Anand Niketan, Delhi,₹500,28,Orthodontist
Dr. Gaurav Sagar,"MBBS, MD - Medicine, DNB - Nephrology",,,Sarita Vihar, Delhi,₹1500,27,Nephrologist/Renal Specialist
Dr. L.N. Taneja,"MD - Pediatrics, MBBS",,,Patparganj, Delhi,₹1000,40,Pediatrician
Dr. Aseem Gulati,"MDS - Orthodontics, BDS",98% ,(370 votes),Greater Kailash Part 2, Delhi,₹1000,23,"Dentist, Orthodontist, Implantologist"
Dr. Sarika Gupta,"MBBS, MD - Obstetrics & Gynaecology",,,Sarita Vihar, Delhi,₹1500,20,Gynecologist
Dr. Nasir Mughees   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",100% ,(58 votes),Vikas Puri, Delhi,₹300,14,"TherapistPhysiotherapist, Orthopedic Physiotherapist"
Dr. Sanjiv Gupta,"MBBS, MS - Ophthalmology",94% ,(410 votes),Safdarjung Development Area, Delhi,₹1000,29,Ophthalmologist/ Eye Surgeon
Dr. Nikhil Goyal,"BDS, MDS - Periodontics",98% ,(40 votes),Rohini Sector 8, Delhi,₹200,12,"Periodontist, Implantologist, Dentist, Cosmetic/Aesthetic Dentist, Dental Surgeon"
Dr. Virender Singh,"MBBS, MS - ENT",,,Shalimar Bagh, Delhi,₹800,23,ENT/ Otorhinolaryngologist
Dr. Ashish Agarwal,"MBBS, MD - General Medicine, DM - Cardiology",98% ,(474 votes),Dwarka, Delhi,₹700,19,"Cardiologist, Interventional Cardiologist"
Dr. Sajal Halder,"DNB - Plastic Surgery, MBBS, MS - General Surgery",96% ,(74 votes),Lajpat Nagar, Delhi,₹1000,27,"Plastic Surgeon, Hair Transplant Surgeon"
Dr. Rakesh Kumar,"MBBS, MS - Orthopaedics",,,Karol Bagh, Delhi,₹1050,23,Orthopedic surgeon
Dr. Arun Saroha,"MCh - Neuro Surgery, MBBS",,,Saket, Delhi,₹1200,28,"Neurosurgeon, Spine Surgeon (Neuro)"
Dr. Meenu Virdi,MD - Physician,96% ,(117 votes),Panchsheel Park, Delhi,₹1000,17,General Physician
Dr. Rajendra Singh,"MBBS, MD - General Medicine",,,Dwarka Sector 6, Delhi,₹900,28,"Internal Medicine, General Physician"
Dr. Kapil Kakar (PhD)   (PhD),"PhD - Psychology, MA - Psychology",,,Jangpura, Delhi,₹5000,20,TherapistCounselling Psychologist
Dr. Monika,"MBBS, DNB - Paediatrics",100% ,(29 votes),Rohini Sector 24, Delhi,₹500,14,Pediatrician
Ms. Rashi Ahuja,MSc - Counselling Psychology,,,New Friends Colony, Delhi,₹2500,t9,TherapistCounselling Psychologist
Dr. Amit Dania,"BDS, MDS",97% ,(1471 votes),Lajpat Nagar, Delhi,₹500,25,"Dental Surgeon, Implantologist"
Dr. Harsh Dua,"MBBS, MD - Medicine",,,Sarita Vihar, Delhi,₹2000,50,Internal Medicine
Dr. Preeti Tahilyani,"MS - Obstetrics & Gynaecology, MBBS",100% ,(98 votes),Dwarka, Delhi,₹1000,21,"Gynecologist, Obstetrician"
Dr. Aditya Kumar Singhal,"MBBS, MS - Orthopaedics, M.Ch - Orthopaedics",89% ,(36 votes),Rohini Sector 7, Delhi,₹800,12,Orthopedic surgeon
Dr. Ashish Vashishth,"MBBS, MS - ENT, DNB - ENT",59% ,(22 votes),Dwarka Sector 6, Delhi,₹900,13,ENT/ Otorhinolaryngologist
Dr. Gauranga Saikia,"MBBS, DNB - General Surgery",,,Saket, Delhi,₹1000,17,"General Surgeon, Laparoscopic Surgeon, Bariatric Surgeon"
Dr. Aman Popli,"BDS, MDS - Prosthodontics",,,Panchsheel Park, Delhi,₹1200,27,Prosthodontist
Dr. Rudra,BDS,100% ,(15 votes),Vasundhra Enclave, Delhi,₹500,10,"Periodontist, Dentist, Cosmetic/Aesthetic Dentist"
Dr. Chandragouda Dodagoudar,"MBBS, MD - General Medicine, DNB  - Medical Oncology",,,Pusa Road, Delhi,₹1800,23,Medical Oncologist
Dr. Siddharth Garg,"MBBS, MD - Pediatrics",100% ,(50 votes),Vikas Puri, Delhi,₹500,10,Pediatrician
Dr. Anand Kumar Saxena,"MBBS, MD - Medicine, DM - Neurology",81% ,(36 votes),Dwarka Sector 19, Delhi,₹1400,34,Neurologist
Dr. Rinky Tandon,"MBBS, DNB - Paediatrics",,,Saket, Delhi,₹1200,10,Pediatrician
Dr. Stuti Ranjan Chawla,"MD - Physician, DGO",97% ,(139 votes),Dwarka, Delhi,₹600,24,Gynecologist
Dr. Manpreet Isser,MBBS,,,Janakpuri, Delhi,₹600,32,General Physician
Dr. Atul Bhasin,"MBBS, DNB - General Medicine",,,Pusa Road, Delhi,₹1800,32,"General Physician, Internal Medicine"
Dr. Varun Duggal   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",85% ,(81 votes),Kirti Nagar, Delhi,₹1000,17,TherapistOrthopedic Physiotherapist
Dr. Prachi Kohli,"MDS - Periodontics, BDS",100% ,(59 votes),Kamla Nagar, Delhi,₹300,14,"Dental Surgeon, Periodontist, Implantologist, Dentist, Cosmetic/Aesthetic Dentist"
Dr. Vineet Kumar Surana,"MBBS, DM - Endocrinology, MD - Pediatrics",96% ,(78 votes),Dwarka Sector 6, Delhi,₹1100,13,"Endocrinologist, Diabetologist"
Dr. Jay Kirtani,"MBBS, MD - General Medicine, Diploma in Geriatric Medicine, FRCP - Internal Medicine",92% ,(39 votes),Panchsheel Park, Delhi,₹1500,26,"Geriatrician, Consultant Physician"
Dr. Lalit Sagar,"MBBS, MS - Orthopaedics",,,Preet Vihar, Delhi,₹600,23,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Surya Kant Jha,"MS - Ophthalmology, MBBS",,,Malviya Nagar, Delhi,₹600,19,Ophthalmologist/ Eye Surgeon
Dr. Manu Modi,"BDS, MDS - Prosthodontist And Crown Bridge",95% ,(996 votes),Ashok Vihar, Delhi,₹1000,28,"Prosthodontist, Dental Surgeon, Implantologist"
Dr. Sanjay Verma,"MBBS, MS - General Surgery",,,Okhla, Delhi,₹1500,28,"General Surgeon, Bariatric Surgeon"
Dr. Poonam Rathi,MBBS,,,Greater Kailash Part 1, Delhi,₹300,44,General Practitioner
Dr. Dipika Palit,"MBBS, DNB - Obstetrics & Gynecology",100% ,(34 votes),CR Park, Delhi,₹600,16,"Obstetrician, Gynecologist, Infertility Specialist"
Dr. Anurag Krishna,"MBBS, MS - General Surgery, MS - Paediatrics Surgery",88% ,(25 votes),Saket, Delhi,₹1200,40,Pediatric Surgeon
Dr. Swati Tandon,"MS - ENT, MBBS",100% ,(15 votes),Sarita Vihar, Delhi,₹700,12,ENT/ Otorhinolaryngologist
Dr. Karuna Bector  Arora,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",100% ,(74 votes),Vasant Vihar, Delhi,₹500,12,"Orthodontist, Dentofacial Orthopedist, Cosmetic/Aesthetic Dentist, Dentist"
Dr. V.S Isser,"MBBS, MD - Medicine",93% ,(14 votes),Janakpuri, Delhi,₹800,39,General Physician
Dr. Kunal Das,"MBBS, MD - General Medicine, DM - Gastroenterology",83% ,(193 votes),Dwarka Sector 6, Delhi,₹1100,27,Gastroenterologist
Dr. Anshul Gupta,"MBBS, DNB - ENT",83% ,(327 votes),Pitampura, Delhi,₹800,18,ENT/ Otorhinolaryngologist
Dr. Uktra Namshum,"MBBS, MSc. - Clinical Dermatology",,,Nizamuddin East, Delhi,₹1500,17,General Physician
Dr. R N Srivastava,"MBBS, Diplomate of the American Board of Paediatrics",,,Sarita Vihar, Delhi,₹2500,64,Pediatrician
Dr. Jaiveer  Yadav,"MDS - Prosthodontist And Crown Bridge, BDS",,,Dwarka Sector 11, Delhi,₹400,11,"Dentist, Prosthodontist"
Dr. Anubha Jain Singhal,"MBBS, MS - Obstetrics & Gynaecology",98% ,(106 votes),Rohini Sector 7, Delhi,₹500,12,"Gynecologist, Infertility Specialist, Obstetrician, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Arush Sabharwal,"MBBS, MS - General Surgery",,,Karol Bagh, Delhi,₹850,14,"Bariatric Surgeon, Laparoscopic Surgeon"
Dr. Soni Anand,"MBBS, DGO",95% ,(118 votes),Rohini, Delhi,₹700,25,"Gynecologist, Obstetrician"
Dr. Ankur Ohri,"MD - Physician, Diploma in Child Health (DCH)",,,Malviya Nagar, Delhi,₹1300,10,Pediatrician
Dr. Shanti Swaroop Dhar,"MBBS, MD - General Medicine, DM - Gastroenterology",93% ,(27 votes),Panchsheel Park, Delhi,₹1500,23,Gastroenterologist
Dr. M S Chaudhary,"MBBS, MD - General Medicine",,,Sarita Vihar, Delhi,₹1500,40,"Internal Medicine, General Physician"
Dr. Deepak,BAMS,96% ,(27 votes),Paschim Vihar, Delhi,₹500,15,AYUSHAyurveda
Dr. Vipender Sabherwal,"MBBS, MS - General Surgery, DNB - General Surgery",,,Kilokri, Delhi,₹700,25,General Surgeon
Dr. Anushka Madan,"MBBS, MS - Obstetrics & Gynaecology",93% ,(384 votes),Ashok Vihar, Delhi,₹1000,22,Infertility Specialist
Dr. Gourav Gupta,"MBBS, M.D. (Psychiatry)",98% ,(101 votes),Rohini Sector 8, Delhi,₹800,15,"Psychotherapist, Addiction Psychiatrist, Psychiatrist, Neuropsychiatrist, Geriatric Psychiatrist"
Dr. Piyush Gupta,"MBBS, MD - General Medicine, DM - Gastroenterology",95% ,(38 votes),Punjabi Bagh, Delhi,₹1500,13,Gastroenterologist
Dr. Arun Goel,"MBBS, MS - General Surgery",,,Patparganj, Delhi,₹800,37,General Surgeon
Dr. Neeta Misra,"MBBS, MD - Obstetrics & Gynaecology",95% ,(115 votes),Nehru Place, Delhi,₹1100,38,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Mukesh Taneja,"MBBS, DO, DNB - Ophthalmology",,,Bali Nagar, Delhi,₹600,32,Ophthalmologist/ Eye Surgeon
Dr. Tushar Aeron,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",,,Dwarka Sector 12, Delhi,₹1000,13,GastroIntestinal Surgeon
Dr. Ashish Bansal,"BDS, MDS - Prosthodontist And Crown Bridge",100% ,(53 votes),Pitampura, Delhi,₹400,12,"Dentist, Prosthodontist, Dental Surgeon, Implantologist, Cosmetic/Aesthetic Dentist"
Dr. Rahul Bhargava,"MBBS, MS - ENT, DNB - Otorhinolaryngology",94% ,(35 votes),Rohini Sector 15, Delhi,₹500,15,ENT/ Otorhinolaryngologist
Dr. Latika Arya,"MBBS, MD - Dermatology and Venerology",97% ,(1072 votes),Defence Colony, Delhi,₹2200,30,Dermatologist
Dr. Amit Kumar Dubey,BAMS,,,Karol Bagh, Delhi,₹299,17,AYUSHAyurveda
Dr. Prateek Parashar,MBBS,,,Hari Nagar, Delhi,₹200,r6,General Practitioner
Dr. Gaurav Jawa,"MBBS, MD - Pediatrics",90% ,(21 votes),Nehru Place, Delhi,₹900,20,Pediatrician
Dr. Ajay Thakur,BDS,91% ,(33 votes),Chattarpur, Delhi,₹500,15,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Arun Bhardwaj,"MBBS, MS - General Surgery, DNB - General Surgery, MRCS (UK)",100% ,(13 votes),Dwarka Sector 6, Delhi,₹1100,14,"Bariatric Surgeon, GastroIntestinal Surgeon, Laparoscopic Surgeon"
Dr. Neha Mohan,"MBBS, MS - Ophthalmology",,,Shalimar Bagh, Delhi,₹600,16,Ophthalmologist/ Eye Surgeon
Dr. Anibha  Pandey,"MBBS, DNB - Paediatrics",,,Nehru Place, Delhi,₹800,14,Pediatrician
Dr. Ajay Kumar,"MBBS, MD - Medicine, DM - Gastroenterology",84% ,(19 votes),Pusa Road, Delhi,₹1300,36,Gastroenterologist
Dr. Rohit Nanda,"MBBS, DO",93% ,(150 votes),Dwarka Sector 12, Delhi,₹800,22,Ophthalmologist/ Eye Surgeon
Dr. Munish Choudhary,"MBBS, MS - Orthopaedics",,,Saket, Delhi,₹1200,32,Orthopedic surgeon
Dr. Birbala Rai,"MBBS, MS - Obstetrics & Gynaecology",85% ,(34 votes),Greater Kailash Part 2, Delhi,₹1100,46,"Gynecologist, Obstetrician"
Dr. Rushda Riaz,"MBBS, DGO",96% ,(25 votes),Mayur Vihar Ph-II, Delhi,₹700,13,"Gynecologist, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Akash Sachdeva,"MDS - Oral & Maxillofacial Surgery, BDS",95% ,(19 votes),Kirti Nagar, Delhi,₹800,25,"Implantologist, Oral And MaxilloFacial Surgeon"
Dr. Tanvi Gupta Arora,"MD - Dermatology , Venereology & Leprosy, MBBS",,,Pusa Road, Delhi,₹1000,12,"Dermatologist, Dermatosurgeon, Trichologist, Pediatric Dermatologist"
Dr. Sudheer Kumar Tyagi,"MBBS, MS - General Surgery, MCh - Neuro Surgery",,,Sarita Vihar, Delhi,₹2000,34,Neurosurgeon
Dr. Anu Khera,MBBS,,,Nangloi, Delhi,₹500,25,General Physician
Dr. Madhu Roy,"MBBS, MD - Obstetrics & Gynaecology",,,Sarita Vihar, Delhi,₹2000,41,"Gynecologist, Obstetrician"
Dr. Ganesh Jadhav,"MBBS, MD - Radiotherapy",,,Sarita Vihar, Delhi,₹1500,39,Radiation Oncologist
Dr. Sheetal Agarwal,"MBBS, DNB - Obstetrics & Gynecology",,,Panchsheel Park, Delhi,₹1600,35,"Obstetrician, Gynecologist"
Dr. Himanshu Batra,"MBBS, DNB - Paediatrics",,,Dwarka Sector 6, Delhi,₹900,12,Pediatrician
Dr. Ashok Kumar,"MD - General Medicine, MBBS",,,Saket, Delhi,₹1200,29,Internal Medicine
Dr. Anurag Saxena,"MBBS, MCh - Neuro Surgery, FRCS - Neurosurgery, MS - General Surgery",,,Dwarka Sector 6, Delhi,₹1100,19,"Neurosurgeon, Neurologist"
Dr. Smita Kular,"MBBS, MD - Obstetrics & Gynaecology",,,Panchsheel Park, Delhi,₹1600,34,"Gynecologist, Obstetrician"
Dr. Neena Bahl,"MBBS, MD - Midwifery & Gynecology",97% ,(31 votes),Greater Kailash Part 2, Delhi,₹2000,35,"Gynecologist, Obstetrician"
